category,text
Rave,"""'@mas thanks for great flights i've had so far lhr to syd via kul, and syd to kul, also kul to sdk - next flight mh004 on fri '"""
Rant,"""'__歙__歙_customers don__歙__歙_t expect you to be perfect. they do expect you to fix things when they go wrong_･ﾋ_ __歙__歙_donald porter, v.p. british airways '"""
Rave,"""'@british_airways no worries i will try that. thank you for your help T_POS_EMO '"""
Others,"""'mas offers greater travel experience with mhupgrade: &lt;strong&gt;kuala lumpur:&ltT_NEG_EMOstrong&gt; malaysia airlines is offering guests the opportun... '"""
Rant,"""'@mas 10/26 passenger arrived and was denied boarding because ticket showed that flight was still 10/25. i'm beyond pissed. '"""
Rave,"""'@cathaypacific a huge thanks to your crew on the flight out of bali on the 20th (cx0872) who found some sunburn cream onboard. top service! '"""
Rave,"""'@british_airways as an ex staff member- ba is always my favourite! '"""
Others,"""'cathay pacific $5000 all in to amsterdam peeps! '"""
Others,"""'@ukipsusannah @poppylegion @british_airways well done ba __歙__歙__ '"""
Ads,"""'british airways: cabin crew (heathrow) (west midlands, ) T_URL '"""
Others,"""'@british_airways fortunate is the one who has learned to admire, but not to envy good wishes for a joyous diwali with plenty of peace '"""
News,"""'malaysian family of mh370 victim sues government, malaysia airlines in ... - abc online: abc onlinemalaysian f... T_URL '"""
Query,"""'@british_airways is it possible upgrade from world traveller to world traveller plus? '"""
Rant,"""'@british_airways terrible experience: flight ba242 delayed over 20 hours. staff was not helpful. no re-routing nor compensation offered. '"""
Rave,"""'really like the interior of the @british_airways a320 g-euyp. cannot wait for the rest of the fleet to look this good '"""
Rave,"""'thank you cathay pacific!!!!! i love you :d '"""
Others,"""' malaysia airlines commercial director cold on advantages of brand overhaul T_URL '"""
Lead,"""'long day tomorrow, flying to the us in the morning. praying to the @british_airways upgrade fairies for a better seat. '"""
Query,"""'@cathaypacific what is the status update on today's cx250 ? still scheduled for 1820 ? '"""
Others,"""'rt @goaviationvideo: farnborough 2012 - malaysia airlines a380 takes flight T_URL '"""
Others,"""'rt @jaysontravels: a whopping s$5million to community chest! well done @singaporeair and all who made it happened. T_URL '"""
Ads,"""'tweeps be a part in @british_airways celebrations &amp; post your celebration pics with them &amp; win a ticket to london T_POS_EMO '"""
Ads,"""'my dear @jungleebilla join @british_airways participate in and simply share your celebration pic &amp; get chance to fly to london '"""
Others,"""'this halloween i will be dressing up as malaysia airlines flight 370 by rsvping to all possible parties &amp; attending absolutely none of them. '"""
News,"""'missing malaysia airlines plane: where on earth is mh370? '"""
Others,"""'week three (october 29): pilot - view from the top cathay pacific T_URL '"""
News,"""'rt @nydailynews: the dutch prime minister confirmed that human remains were recovered from malaysia airlines flight 17 disaster site. T_URL '"""
Others,"""'welcome to auckland, singapore airlines a380 great to have your a380's in akl @singaporeair @sgtoday @singaporeplaza T_URL '"""
Ads,"""'participate in the contest by @british_airways n win air tickets '"""
Query,"""'@british_airways am still waiting for an answer on how i was advised my flights were unchangeable when i booked them. thanks. '"""
Rave,"""'see you later london! ldn &gt; nyc w/ @bbpro_hannahm thanks for the upgrade @british_airways !__歙__ T_URL '"""
Others,"""'@british_airways i get that just would of been better a bit spread out but my flights in early so i'm happy __歙___歙__歙_ '"""
Others,"""'from - how better segmentation helped @british_airways improve commerce @jonmac_ba T_URL '"""
Rant,"""'@british_airways another day no upgrades with plenty of seats unsold for a long haul in 5 days '"""
News,"""'check out 2002 diecast gemini jets british airways b777-200 1:400 (""canada"") gjbaw269 T_URL via @ebay '"""
Ads,"""'rt @rimsriya: tell me who wanna win tickets to london? if yes then follow __歙__歙__ @british_airways &amp; participate in '"""
Ads,"""'need some @british_airways avios? now is the time thanks to the @rbc_canada 50% bonus! T_URL '"""
Others,"""'@bal_athwal @virginatlantic @aircanada @british_airways @airtransat there was a flight from frankfurt going to calgary on monday. '"""
Rant,"""'both @british_airways &amp; @airfrance lost my luggage today. congratz to @british_airways - they are 1 out of 3. @airfrance lost all. T_POS_EMO '"""
Others,"""'the beautiful queen landing at hong kong international. i hope cathay pacific still keeps them in__歙__ T_URL '"""
Rant,"""'rt @josephmelville: @thomsonholidays selecting my own seat with easyjet, _歙_3.50. british airways, _歙_5. you, _歙_19!! what is the justification fo__歙__ '"""
Others,"""'@british_airways quite extraordinary when u see the figures in black and white '"""
Rave,"""'touched down in kl and enjoying the @mas golden lounge before our connecting flight to langkawi __歙___歙__歙_ '"""
Others,"""'@rhys_parker @british_airways booked on tomorrow a380 as flight canx '"""
Others,"""'@airsmolik @skippyscage @british_airways beautiful! '"""
Query,"""'@british_airways no worries, i've just dm'd all the info. thanks '"""
Ads,"""'new job listing: british airways - cabin crew - mixed fleet - T_URL T_URL '"""
Others,"""'watching @piersmorgan life stories, roger moore. met him (rm) on a @british_airways flight back from nice with work. he asked me for a kiss! '"""
Others,"""'@richieinlondon @british_airways errrr edinburgh has it as does glasgow '"""
Others,"""'__歙__歙_@british_airways: our 'tache is coming along nicely. T_URL this is brill. @fuldenboyraz '"""
Others,"""'ba has commenced a380 services to singapore with g-xleg flying the inaugural today!! T_URL '"""
News,"""'malaysia airlines flight 370: indonesia __歙__歙_on alert__歙__歙_ for plane debris washing up on shore: as the hunt for malay... T_URL '"""
Rant,"""'@british_airways remote stand once again despite many empty a&amp;b gates. email complaint and same if any response every time. '"""
Ads,"""'this paris-new-york ad from @british_airways is the classiest! T_URL '"""
Others,"""'@british_airways @iata good night from africa say hi to denise mcgregor '"""
Others,"""'jay the plane geek is super excited about this. first singapore airlines a380 coming to auckland! :d T_URL '"""
Rant,"""'ba: of course you can upgrade your 11hr flight to sf. just walk a kilo to the b class lounge &amp; pay _歙_599 nope, just kidding @british_airways '"""
Ads,"""'fly to london just by sharing your celebrations photgraphs with @british_airways using '"""
News,"""'rt @bernerlap: __歙__歙_@redhotsquirrel: spanish air force disrupts british airways flight landing in gibraltar T_URL with allies__歙__ '"""
Rant,"""'@emirates for god sake stop spamming people. we are not integrated in your airline. we have our own british airways '"""
Rant,"""'@british_airways still unacceptable. no info/ help at all. 48 hours now. '"""
Rant,"""'@british_airways have a business conference 2moro and still no update on my luggage, no info on website..sort it out!!! '"""
Rave,"""'thank you @british_airways for taking good care of my touring travel companion @fendergbi @stratoblogster @fender T_URL '"""
Urgent,"""'still no reply from @british_airways regarding our complaint! '"""
Others,"""'oshey british airways ""@honey_smallz: walking gets too boring when you learn how to fly"" '"""
Others,"""'@lesdawsonette ohh...culture! is it the one from the old spice advert or the one from the british airways advert? stuff '"""
Others,"""'ba owner confident on growth as rivals falter - the owner of british airways and iberia raised its forecast for pr... T_URL '"""
Rave,"""'@daveleechef @chef_adammoore @singaporeair just best airline all over....imo ! '"""
News,"""'rt @nitinmathur: flying singapore airlines in first class for an hour ruined my life T_URL via @yahootravel '"""
News,"""'rt @cockpitchatter: malaysia mh370: australian scientist claims __歙__歙_contrails__歙__歙_ are key to finding plane T_URL T_URL '"""
Others,"""'@nihonmama @saucysailoress so mh370 lost penang , ho chi minh acars later on started reading/writing agaion , only thios way the @mas dispa '"""
Ads,"""'@cricrahul wanna fly to london? @british_airways might just fulfill your dream. share your celebrations pic using '"""
News,"""' airlines sees first lawsuit on missing flight T_URL T_URL '"""
Others,"""'@sandeeprrao1991 @british_airways @boeing @heathrowairport does @kempegowda_air get the 747 everyday all winter ? '"""
Others,"""'ummm, how exactly do you lose a space ship virgin galactic? is malaysia airlines running the operations? '"""
Others,"""'singapore airlines ready to landing 50..40..30..20.. retard. ....... suvarnabhumi international__歙__ T_URL '"""
Others,"""'exclusive insight into the trainingscenter from @singaporeair T_URL T_URL '"""
Others,"""'@british_airways the charles bridge, prague - beautiful! '"""
News,"""'__歙__歙_@mailonline: two boys whose father was on mh370 are first people to sue malaysia airlines T_URL sorry, but this is mad!! '"""
News,"""'baby on a plane! malaysia airlines flight forced to make emergency stop in bali after australian woman goes into labour ... '"""
Ads,"""'it is your chance to get featured in the high life magazine, fly to london. participate in contest @british_airways '"""
Others,"""'paris / new york_歙__by british airways T_URL '"""
Rant,"""'@mas no satisfactory reply from to complain made by gold card holders. case ref no. 12871173 T_URL '"""
Others,"""'rt @heymanhustle: post your comments for british airways here - T_URL '"""
Rant,"""'@british_airways i did. delayed over 24 hours, missed my anniversary with my wife and i got 'i am sorry to disappoint you'. lack of respect '"""
Others,"""'just follow the @british_airways celebrations and feature in high life magazine. '"""
Query,"""'@british_airways why cannot i check in online or via my ba app for my flight from gla to lcy tomorrow? '"""
Others,"""'i flew on malaysia airlines in the weeks between one plane went missing in limbo and one got shot down in ukraine '"""
News,"""'rt @speedbird_ncl: british airways is using coldplay and madonna to make in-flight meals taste better - business insider: T_URL '"""
Feedback,"""'@british_airways why is the gluten free deli/light bite snack always fruit and more fruit? that does not fill me up! T_URL '"""
Others,"""'celebrating with lights and colours T_POS_EMO @british_airways T_URL '"""
Others,"""'rt @liz_kreutz: exhibit c why malaysia airlines has all the bad luck: T_URL '"""
Others,"""'people actually mocked malaysia airlines tragedies on halloween; are u serious rn '"""
Query,"""'@british_airways can you please confirm my baggage allowance for club europe fco to lgw - confirmation states 2@23kg - website states 2@32kg '"""
Others,"""'ex- @cathaypacific b747 at bruntingthorpe, leicestershire, uk this evening. T_URL '"""
Others,"""'@dailytraveltips @globetrotscott @delta @johnnyjet @mas ramsey is most insane flyer i know! 500k is twice what i've done in my busiest year! '"""
Others,"""'rt @mh370news: malaysia airlines flight mh 370 latest search news: is there a cover-up regarding the T_URL '"""
Others,"""'@british_airways another pic of ganesha chturthi celebration !! T_URL '"""
Rant,"""'@british_airways it is so disappointing, missed out on seeing and now have the prospect of no clothes for an unknown period of time! '"""
Others,"""'british airways launches movember tache: a five metre long faux fur moustache has been brought to london cit... T_URL '"""
Rant,"""'@kerryjaneellis1 @british_airways glad i've never booked with then and having seen your problems with them, i do not think i ever will. '"""
Rave,"""'@singaporeair thank u so much was beginning 2 worry! thank u 4 your help, much appreciated! __歙__歙__ '"""
Rave,"""'@curatedcool how exciting melinda, especially on cathay pacific. heard they have great service. safe travels. '"""
News,"""'rt @hilltransport: malaysia airlines sued over flight 370 disappearance T_URL '"""
Rant,"""'thanks @hvjs123 for letting me share your suitcase! buying one has now become essential! @british_airways '"""
Others,"""'big boost fr @british_airways &amp; @virginatlantic traffic as uk allows indians to transit w/o visa T_URL via @livefromalounge '"""
News,"""'rt @speedbird_ncl: malaysia airlines sees 1st lawsuit on missing flight mh370: T_URL '"""
Others,"""'@lisaluiz4 @airbusred @british_airways as pointed out earlier, was sent to storage in 2009 at vcv, only to be put back into service. '"""
Others,"""' traning center in jv @bernard_valette @singaporeair @jjboillot @pierrememheld @artduservice T_URL '"""
News,"""'british airways pairs music to meals to make in-flight food taste better T_URL T_URL '"""
Rant,"""'@british_airways help my friend @mike_akka, you gave him bed bugs '"""
Others,"""'malaysia airlines is expected to arrive at perth int'l (ypph/per) in 59 minutes at 01:13am wst T_URL '"""
Rant,"""'sorry that you also got done over by ba they should compensate us both @british_airways @documentally '"""
News,"""'search off wa for missing malaysia airlines flight mh370 as anwar ibrahim ... - T_URL '"""
Ads,"""'british airways: cabin crew (heathrow) (leicestershire, ) T_URL '"""
News,"""'malaysia airlines sees first lawsuit on missing flight mh370ary '"""
Others,"""'peekaboo @singaporeair taken from @novotelakl nau mai haere mai ki tamaki makaurau welcome to auckland T_URL '"""
News,"""'boys sue malaysia airlines over loss of father on flight 370 T_URL T_URL '"""
Others,"""'rt @atmology: you should become a contributing writer for @mas and @airasia inflight magazines lol. bonjour bro. @9vsta '"""
Query,"""'@singaporeair @realhardman nope, seat belt lengths vary economy to economy, you should check, i experience it '"""
Others,"""'watching the game. 2-2 (@ british airways first lounge in san francisco, ca) T_URL '"""
Rant,"""'@skyscanner do not fly by @british_airways in the evening through london-heathrow by connecting flights. T_URL '"""
Rant,"""'@jonwoodlfc @british_airways @bt oh, i never got a pick-up. i just hung up. '"""
Others,"""'@british_airways @british_airways a group photograph in the school i studied in uk. T_URL '"""
Others,"""'@real_liam_payne pilot for british airways. i can get you the costume. '"""
News,"""'trendeals @trendeals :@cbcnews malaysia airlines mh370: dutch ship joins search for missing plan... T_URL '"""
Others,"""'rt @reutersaero: malaysia airlines sees first lawsuit on missing flight T_URL '"""
News,"""'bbc news ""there is disruption at heathrow airport after ""issues"" with an it system, british airways confirms"" i only pulled 1 wire, honest! '"""
Others,"""'@paulbaylay @british_airways aw glasgow.reminds me of last year with @19daydreamer89 @turnschuhprzsin '"""
Others,"""'british airways launches fresh assault on air passenger duty __歙__ : T_URL .,,, '"""
Others,"""'seoul: return flight tickets by cathay pacific airlines __歙__歙_ includes 20kg check-in baggage allowance + 7kg hand-carry__歙__ T_URL '"""
News,"""'aviation: 2 boys who lost their father aboard mh370 sue malaysia airlines. T_URL intelligent words from kids of 11 and 13 '"""
Query,"""'@british_airways any idea when our luggage will be forwarded onto our hotel in amsterdam? need some jumpers __歙_狙__歙__歙____歙__歙__歙__歙___歙__歙__歙__歙_ '"""
Others,"""'on the other hand, this revived memories of getting lost in the viennese woods. not so good @british_airways T_URL '"""
Others,"""'@pattaya_web re: __歙__歙_my ultimate bucket list_･ﾋ_ - very classy 537 ppl already kicked the bucket flying @mas this year @freemindth '"""
Others,"""'rt @suziurell: oh hell no. we see the u commit @twittersg @singaporeair @govsingapore T_URL T_URL '"""
Others,"""'rt @yoursingaporeuk: make like @gwynethpaltrow and swim on top of the world @marinabaysands T_URL @british_airways '"""
Others,"""'only just __歙___歙__歙_@british_airways: @rugbybencohen have a great flight ben and hope you avoid the early morning scrum!!! ^david._･ﾋ_ '"""
Ads,"""'@brushurteeth_03 an awesome chance to win free tickets t london ! share your celebrations with @british_airways '"""
Urgent,"""'@british_airways help! been on phone to exec club in queue for 20 mins from abroad after no one responded to my enquiry online wks ago '"""
Query,"""'@british_airways @justinrose99 is the contest open for resident in india too ?? '"""
News,"""'share your celebration pic with with @british_airways stand a chance 2 win a london trip !! '"""
News,"""'breaking: singapore airlines, qantas, emirates, oman air ranked as best airlines for __歙__ __歙__歙_ wptv: wptvsingapore a... T_URL '"""
Rant,"""'@british_airways hmm...no response to that one. sums my experience up really... '"""
Others,"""'i think i'm just going to travel like this from now on @cbrennan84 T_URL '"""
Others,"""'@british_airways charles bridge and that is st john nepomuk '"""
Rant,"""'there is no space under the seat in front of me T_POS_EMO @british_airways T_URL '"""
Others,"""'news is when @virginaustralia &amp; @singaporeair start airline-to-airline mile transfers it will not be 1:1. any guesses who will come out on top? '"""
Rave,"""'in other unimportant/unfollowable news, my gate is right next to british airways and my heart is aching. basic wanderlust girl, all aboard! '"""
Rant,"""'rt @civilcivic: been 1 week since @british_airways managed to lose all our gear incl. computer, fx, &amp; custom built drum machine the box. '"""
Others,"""'@cathaypacific sure thing, roni, swap you for an upgrade? T_POS_EMO here you go (chrome version 37.0.2062.124): T_URL '"""
Rant,"""'.@british_airways totally appreciate diversion to southend is beyond your control, but feeding us crisps only at this hour? '"""
News,"""'rt @flightcentreau: .@british_airways celebrates its route to with @gwynethpaltrow T_URL T_URL '"""
News,"""'[the sun daily] nov 6: d-day for mas: &lt;b&gt;come&ltT_NEG_EMOb&gt; nov 6, the fate of malaysia airlines (mas) will be known at ... T_URL '"""
Rant,"""'@mas last time i take your company ! had a high esteem of you, but crew of pg951 ruined it forever ! it was totally unacceptable ! '"""
News,"""'british airways app up to date with new design in home windows telephone_歙__retailer T_URL '"""
Rant,"""'i am horrified by the service received from @british_airways. luggage was lost thursday in madrid, still no sign, where is it @taportugal '"""
News,"""'new post: what it&amp; like to fly the _歙_11000 singapore airlines suites class T_URL '"""
Rant,"""'oh my, it is rather big is not it? no wonder @british_airways start boarding over an hour before departure __歙__歙__ T_URL '"""
Ads,"""'rt @mohitraj07: your every celebration is special for @british_airways too , share your pics and win a trip to london .. '"""
Query,"""'@british_airways how long does it take to hear back after filed a case with cr? it is been over a week... thanks! '"""
News,"""'rt @surveyemployees: looking at: hr lessons from singapore airlines: for any organization operating in any sector, human resources ... T_URL '"""
Rant,"""'more than an hour on tarmac with no aircon, hot as hell nd no idea what is going on , well done singapore airlines '"""
Rave,"""'thank you so much @nehayagnik @british_airways @mehekmahtani '"""
Rave,"""'flying singapore airlines in first class for an hour ruined my life. the airlines giveth and then taketh away-... T_URL '"""
Rant,"""'@british_airways numerous tweets &amp; private messages. still no reply,really poor customer service '"""
Rant,"""'very disappointed @british_airways yday. not allowed to upgrade even tho was told i could via dm on here. '"""
Ads,"""'sales executive - british airways - newcastle upon tyne T_URL '"""
Ads,"""'each celebration calls for some great clicks! :d share yours with @british_airways using to stand a chance to fly to london! '"""
Others,"""'@nabeelmahmood british airways, comcast, share real-world insights on live webinar @raritanamericas reg here T_URL '"""
Others,"""'baru lepas baca, dulu british airways mula-mula fly to kl in 1933. it took 9 days to get from london to kl. '"""
Urgent,"""'jgh from makati! im really expecting a call from cathay pacific, so pleeeeaaaase! __歙_ﾜ� '"""
News,"""'vistara, the proposed airline by the tata group-singapore airlines (sia) alliance, has signed an agreement for... T_URL '"""
News,"""'malaysia airlines sued by 2 boys over flight 370: T_URL - @foxnews '"""
News,"""'ukraine says russia helping destroy malaysia airlines crash evidence ..nola nolanews '"""
Others,"""'my new british airways lithium card has arrived. are they sending me a message? '"""
Rant,"""'@british_airways on ba6 following last tweet about beckhams baggage - then excuse was late loading team and now its a technical problem '"""
News,"""'how to handle a crisis; the malaysia airlines way T_URL via @prcatalogueke cc @clansewe @shiko_msa @njooro @mmurumba '"""
Others,"""'@rugbybencohen @british_airways have a safe journey. '"""
Others,"""'@mt111tmd123 @british_airways really want to see one of these. are they most common at man ? '"""
Rave,"""'amazing customer service on flight back to uk by @british_airways crew, elderly couple needed help, oxygen in seat in front of ours '"""
News,"""'rt @firstpostin: malaysia airlines sued by two boys over missing flight more: T_URL T_URL '"""
Others,"""'rt @mehekmahtani: @british_airways the way i celebrate the auspicious raksha bandan, complete with traditional puja thali htt__歙__ '"""
Query,"""'@british_airways bought a ticket.. not clear i paid for no luggage option.. no warning ! even at online check in when i said i have 2 prt1 '"""
Query,"""'@british_airways- i recently booked my tickets to new york. london to ny is more expensive than istanbul to nyc.(1) T_URL '"""
News,"""'amazing! what it is like to fly the $23,000 singapore airlines suites class T_URL great share @markhazlett '"""
News,"""'rt @forcesdiscounts: rt @geezajay2013: respect goes 2 @british_airways put a 9ft poppy on their boeing 747 for T_URL '"""
Query,"""'@british_airways should not you be tracking them for me? and contacting me to let me know when i will get them? '"""
News,"""'news: malaysia airlines has a bone to pick with the lawyer who says compensation for mh17 ...: malaysia ... T_URL '"""
Others,"""'rt @notexplained: was malaysia airlines flight 370 shot down? T_URL '"""
News,"""'rt @airservicesnews: yesterday our aviation fire fighters helped @cathaypacific celebrate 40 years of operations @sydneyairport T_URL '"""
Others,"""'@sophiaisabella @british_airways @ba ha! not a fan of brian adams! good spot sophia. thank you. '"""
Ads,"""'travel deals: cheap flights to china with singapore airlines: direct flights is offering low-cos... T_URL '"""
Rant,"""'@british_airways stuck at edinburgh on plane whilst try to close the cargo door ! free glass of water though ! ba1441 '"""
News,"""'news: malaysia airlines flight mh135 to brisbane forced to land in bali after ... - the new paper T_URL '"""
Rant,"""'i added a video to a @youtube playlist T_URL how singapore airlines lost my luggage: sq961 cgk-sin fight experience '"""
Ads,"""'is that why chris martin has gone back to her? @huffingtonpost gwyneth paltrow rocks it in new british airways ad T_URL '"""
Query,"""'@british_airways hi there i have a final pay due date of 17th nov for my holiday in january 26th, it is for _歙_179 is there a way to move the '"""
News,"""'malaysia airlines flight mh17 shot down by military plane not missile, says russian tv film [video] T_URL via @theinquisitr '"""
Rave,"""'@british_airways thank you.. '"""
Query,"""'@british_airways is there any possibility? if not i would like to do something for my return journey '"""
Ads,"""'@captaincool_7 this is your last chance to fulfill your dream of flying in @british_airways. share your celebrations using '"""
Rant,"""'@cathaypacific @cathaypacificph please coordinate with your people in hong kong. my mother and sister has been stuck in hk for more than 24h '"""
Rant,"""'@picklepr @visitdusseldorf @british_airways how rude! someone will not be getting a golden ticket! i hope you complained. '"""
Ads,"""'@sly_chokri an awesome chance to win free tickets t london ! share your celebrations with @british_airways '"""
Others,"""'@mikan36 ok i broke the news to both haha. dad&amp;mom's reaction: no malaysia airlines lol '"""
Others,"""'rt @pestone28: this halloween i will go as malaysia airlines flight 370 and not show up to your party '"""
Rant,"""'@singaporeair the main issue i had aside from the wifi was the laptop power socket in my seat was not working which has put me behind on work '"""
Ads,"""'great opportunity to share your celebration stories pics &amp; videos with @british_airways for chance to win tickets to london! '"""
Ads,"""'british airways luxury sale in business and first class is now on. ends 12th november. call us to book your trip @british_airways '"""
News,"""'rt @mh370news: malaysia airlines sued by 2 boys over missing flight - firstpost T_URL '"""
Others,"""'@dunkcanio @aviosuk @amexuk @british_airways @aviosuk im at 23k, so a little way to go yet! '"""
Others,"""'rt @tthe_joker: sia (singapore airlines) - sex in air '"""
News,"""'rt @jarettsays: just when you thought today could not get better: gwyneth paltrow launches british airways' a380 to singapore T_URL '"""
Rant,"""'@british_airways so they leave their customers hugely out of pocket. and compound it with worse customer service than a budget airline. '"""
News,"""'rt @malaysia_agent: malaysia airlines sued by 2 boys over flight 370 - aol news T_URL '"""
News,"""'moscow suspects kyiv of deliberately shelling malaysia airlines boeing crash site on oct 13 - diplomat source interfax '"""
Others,"""'@british_airways picnic with the gang during my mba days T_URL '"""
Others,"""'photo: g-bygb (cn: 28856) british airways boeing 747-436 by kaz t photoid: 7912118 - T_URL T_URL '"""
Others,"""'g-xlea @british_airways a380 ready to land! T_URL '"""
Rant,"""'@british_airways indeed T_POS_EMO first and last time '"""
News,"""'* malaysia airlines sued by 2 boys over flight 370: 2 malaysian boys sue malaysia airlines,... T_URL '"""
Others,"""'""@mas truly can__歙__歙_t go wrong__歙__or rather can__歙__歙_t afford to go wrong."" ahmad johan to lead mas T_URL '"""
Others,"""'summer boost for british airways owner - iag upgrades profits forecast for 2014 after strong q3 sales T_URL '"""
News,"""'malaysia airlines sees first lawsuit on missing flight mh370 T_URL kuala lumpur __歙__歙_ two children of a passenger on malay... '"""
Others,"""'rt @stephspn: british airways a380 over birmigham at 24,000ft. T_URL '"""
News,"""'second ship searches for missing malaysia airlines plane: sydney (ap) -- a second ship is joining t... T_URL '"""
Rave,"""'@gulfair sara is an angel please send my compliments she has been an __歙_ﾜ� no need for @qatarairways or @british_airways flying soon __歙___歙__歙_ '"""
News,"""'rt @airfarewatchdog: chicago to mauritius $894 round-trip on british airways for in dec T_URL '"""
Query,"""'aaaand @british_airways i'd really love to know how i am going to get it if it is not coming with me? '"""
Others,"""'@british_airways my cousins performing at my cousin brother's wedding T_URL '"""
Rant,"""'cheh... mas speaking kelantanese to invite the passengers who will heading to kelantan. goodjob__歙_･ﾋ__歙_ thank you @mas '"""
Rant,"""'@british_airways does priority bags mean ""we will tell u nothing,will not help &amp; ur bags will arrive 72 hrs after landing? T_URL '"""
Others,"""'rt @jeni_says_so: thanks @british_airways for not bringing my case to a wedding in new york. '"""
Others,"""'consult consultmystic to find mh370 conditions apply all lega requirments to be met bab @mas '"""
Rave,"""'if i'd been the least bit hungry i'd have found the ""brunch"" menu on this morning's @british_airways flight tempting. several nice choices. '"""
Query,"""'@british_airways a lady asked me whether she can have her stroller frame in one travel bag +the carrycot part in other travel bag? as 1/2 '"""
Others,"""'same procedure as every year - seat 17d @british_airways just not the usual phx destination @ terminal__歙__ T_URL '"""
Rant,"""'@twoweather @british_airways @we_hate_ba i wrote to the ceo for my complaint. was the only way i felt i was being acknowledged for the upset '"""
Rave,"""'our third day at cathay pacific travel fair, kota kasablanka. get free milk tea, egg tart, and souvenirs__歙__ [pic] __歙__歙_ T_URL '"""
Others,"""'rt @joelenbach: @midnight sexy missing malaysia airlines flight 370. '"""
Others,"""'rt @anahitairani1: @british_airways my teacher's day celebration n felicitation pic T_URL '"""
Rant,"""'@coverpointfood @british_airways @fly2ohare that is not me, it is an impostor! i'm in portland, or. somebody's clearly stolen my identity! '"""
Rant,"""'@british_airways well your supervisor at jnb is very relaxed about the situation. no apology. nothing. we are boarding now. three hrs later '"""
Rant,"""'@british_airways yes there is to be honest. i was charged _歙_65e/w for a cue. that i did not receive, not to mention the attitude of the staff '"""
News,"""'boys sue malaysia airlines over loss of dad - two children sued malaysia airlines and three government agencies fr... T_URL '"""
Ads,"""'british airways: cabin crew (heathrow) (herefordshire, ) T_URL '"""
Others,"""'@british_airways this is how my house was decorated with lights during diwali ! . T_URL '"""
Lead,"""'@teddyboaz @british_airways they are nearly 100% more expensive! T_POS_EMO '"""
Others,"""'video: @singaporeair's inaugural airbus service arrives at @akl_airport: T_URL T_URL '"""
Ads,"""'british airways: cabin crew (heathrow) (argyllshire, ) T_URL '"""
News,"""' new human remains found at mh17 crash site: a cross above the wreckage of malaysia airlines flig... T_URL '"""
Rave,"""'thank you @cathaypacific for the seat upgrade. T_POS_EMO '"""
Rant,"""'@british_airways car with avis but instructions on details via booking with ba were poor &amp; did not expect to be asked for _歙_1000 deposit! '"""
News,"""'british airways adds london heathrow __歙__歙_ bilbao service in s15 british airways from 29mar15 begins service on... T_URL '"""
Rant,"""'@iberia_en @british_airways so who will sort me out, ba says iberia and iberia says ba. complaint: T_URL one thing is /1 '"""
Rant,"""'@british_airways las vegas for wedding and ba lost my case. 7 nights without it. day 21 and where is it? ba cannot tell me. holiday ruined__歙__歙____歙_ﾜ� '"""
Others,"""'take off. @cathaypacific T_URL '"""
News,"""'british airways enlists gwyneth paltrow for a380 singapore launch - business traveller T_URL via @sharethis '"""
Others,"""'@dunkcanio @aviosuk @amexuk @british_airways wow that is something special '"""
Others,"""'@dharmubaba @british_airways @manobalav one wearin specs can be '"""
Rant,"""'@british_airways i hope that is the case - your phone support refused to change our seating despite having a special needs child '"""
News,"""'rt @niharikakhanna8: british airways cabin crew vote to oppose short-haul fleet cost cuts - T_URL T_URL __歙__ '"""
News,"""'children sue malaysia airlines 8 months after losing dad on missing mh370 plane T_URL hiu! T_URL '"""
Query,"""'@mas hi, if you want solemne to make you a mascot for your airline, only tell me. '"""
Rave,"""'many thanks to malaysia airlines, who have now found where jetstar abandoned my luggage. it should be here shortly! '"""
Others,"""'how have they still not found the malaysia airlines flight '"""
Ads,"""'@thadonlos a great chance to win tickets to london, follow @british_airways as they celebrate 90 years of flying in india '"""
Rant,"""'@british_airways i was not asking for a full upgrade, i did not want food or drink. i just wanted to somewhere to lie down '"""
Rave,"""'@petewebb1 @pilotsimon208 @british_airways pleasure, sir! '"""
Rave,"""'@british_airways congratulations to u guys for making air travel more premium! we are truly grateful! '"""
Others,"""'@british_airways sorry, dreamliner heathrow '"""
Rant,"""'@british_airways in capetown - still waiting on luggage from t5...not good! unhappy! '"""
Rant,"""'rt @rym_saidi: flight delayed :'( @ british airways lounge, fco, italy T_URL '"""
News,"""'missing malaysia airlines flight live: live updates as race to locate jets black box ... - T_URL '"""
Others,"""'g-bnln left the heathrow paintshop today with a giant rememberance day poppy added to both sides of the aircraft!! T_URL '"""
Rave,"""'@british_airways have a great day too T_POS_EMO '"""
News,"""'rt @mh370news: kin of victim to sue malaysia airlines - malaysia kini T_URL '"""
Others,"""' boeing-singapore international airlines jv gets cci green signal - economic times T_URL '"""
News,"""'singapore airlines airbus a380 to serve auckland T_URL '"""
Rave,"""'very impressed with the upgraded lounge __歙__歙_ with @plansairports (@ british airways galleries first in dulles, va) T_URL '"""
Others,"""'rt @debharkness: the lost girl is headed to europe again. thanks @british_airways for making this leg of the tour possible. T_URL '"""
Rave,"""'congrats @ogilvyone on winning the grand @liaawards for magic of flying for @british_airways T_URL T_URL '"""
Rave,"""'@f1photographer @british_airways i__歙__歙_m guessing you weren__歙__歙_t in world traveler section. it__歙__歙_s like sitting in a church pew back there. '"""
