News,"""""@ascorrespondent: has lost two planes this year,sends thoughts to relatives @mas"""""
Rant,"""kezzeroz @qantas @flyairnz @cathaypacificau @mas @singaporeair @emirates i've heard nz &amp; emirates supposed to be good"""
Rant,"""kimsungcutie cause singapore airlines doesnt have the direct one so yeaaa T_NEG_EMO so empty T_URL"""
Rant,"""kirstenalana @singaporeair @nyctm sorry to be missing it!"""
Rant,"""kirstenalana @singaporeair agreed! very well done- the @andaz5th was a great venue. only prob was not winning the tix!lol"""
Rant,"""kirstenalana some sort of @singaporeair swag would have been a nice consolation prize at least! T_POS_EMO @jboydnyc"""
Rant,"""koala_in_usa @singaporeair @jeremygutsche of course pricing is clearly stated. could it not be a technical error?"""
Rant,"""komocode @singaporeair @jeremygutsche only error is not monitoring usage. my bill was high but in all fairness, i was charged correctly."""
Rant,"""komocode @singaporeair @jeremygutsche pricing clearly shown on website + cost of overage. they even notify you at limit. full transparency!"""
Rant,"""kstarfanfest @kwiyomiso @lamlamlammy is it singapore airlines oh my god"""
Rant,"""kuonigroup @singaporeair spends s$30m a year on just + wine T_URL"""
Rant,"""kyleplacy @derektweets can you believe my @singaporeair flight does not have wifi?!!??! wtf"""
Rant,"""laurakayebell @singaporeair incompetence or security matters? dont you prefer to travel safely?"""
Rant,"""lautpeluncur @jeremygutsche @singaporeair @united make him pay it as he should..."""
Rant,"""lee_parnell @singaporeair do not be silly. i think i have to put fish eyes in my mouth."""
Rant,"""lee_parnell @singaporeair im doing the itv2 show."""
Rant,"""lifeofdoug @singaporeair that is very lame. thanks for the heads up. now i know never to fly singapore air."""
Rant,"""likeshisbeer @singaporeair yeap, on my third champagne. cannot you tell?"""
Rant,"""lindasherman @marshacollier someone should send @virginaustralia and @singaporeair an invite. might learn something ...."""
Rant,"""lissyo you are going to have an amazing flight experience with @singaporeair夦_泰迓蘝! we are counting down with you!"""
Rant,"""lloydthelostboy @singaporeair hello! you should have said hi T_POS_EMO"""
Rant,"""louiseathompson @singaporeair or @qatarairways - uae airlines dont fly denpasar bali directly...maybe even a stopover in doha or singapore?"""
Rant,"""lozzaeh singapore airlines were so much better jfc the service was to die for."""
Rant,"""lucapintavalle @singaporeair thanks for your interest. unfortunately merchandise is no longer available for sale after the race weekend."""
Rant,"""lufthansa @lufthansa in the future wiill use first class offers from singapore airlines &amp; emirates again. they would not treat me like you"""
Rant,"""luke_higgins12 i looked up changing to singapore airlines but there are no seats left _迓太迓绦__迓太迓绦__迓太迓绦_"""
Rant,"""magellanpr @kierareilly @honestlyfitness have always said that @singaporeair is one of my fav airlines! @raffleshotelsin"""
Rant,"""makemytrip the airport pay at the singapore airlines counter for the correct ticket. why should we pay for your agents fault? &amp; ur team (4)"""
Rant,"""mas hello, still have not had a reply. flying tomorrow, very concerned. have checked with @singaporeair and they have availability...."""
Rant,"""masha_krylova @singaporeair yes agree, how you manage to plan your holiday"""
Rant,"""matalaz ehm i guess it depends on what airline. in singapore airlines you get a flat bed in business."""
Rant,"""maxgraham @jonk @singaporeair i have not flown them in a while. i need to remedy this soon!"""
Rant,"""maxgraham @jonk @singaporeair you cannot put a price on good customer service. it really makes all the difference."""
Rant,"""maxgraham @singaporeair that made me really happy to read T_POS_EMO i love kindness...usually airline tweets are complaints!"""
Rant,"""mccaig seems nice enough here. disappointed the new singapore airlines one isn迓蘝迓蘝夦_淌t open yet as i would have gone there."""
Rant,"""mcwhirteralex @guildupont @singaporeair idea for competitor promotion - encourage pax to take refund and buy their j-class at 'error' price"""
Rant,"""mcwhirteralex @guildupont as i say, @singaporeair clearly not confident in it is yield management team &amp; ability to recover their 'loss'"""
Rant,"""meatpietits haha as if fly easyjet long haul. i'm booked on singapore airlines."""
Rant,"""midliferoadtrip a9 have heard great things about singapore airlines"""
Rant,"""miflight that is mindblowing. i'd ask @singaporeair to at least my name right for that kinda of money yuanderekmr. T_POS_EMO"""
Rant,"""mikedoeslife @singaporeair what the bloody hell?!"""
Rant,"""milkemark would you imagine if ethiad or singapore airlines would do domestic flights in canada? would be awesome!"""
Rant,"""minhoxchan it is called a flight soch oh idk the airline food is p okay this is a good airline (singapore airlines)"""
Rant,"""minsikko @singaporeair did you fly fancy or just like ""coach"" ?"""
Rant,"""minsikko @singaporeair thats awesome! normally dont hear good things about economy."""
Rant,"""minsikko @singaporeair they are the best! used to fly with them all the time when i was younger :d"""
Rant,"""missdeeallsop @singaporeair pleased that you were look after ,hope you are now in oz have a good sleep love g g w xxxx_迓太迓绦夦_痰_迓太迓绦夦_痰_迓太迓绦夦_痰"""
Rant,"""misstsy i take multi-city flights so usually @singaporeair. ron flies either @jetstar_asia or @airphilexpress i think."""
Rant,"""mkhoury @americanair some like @virginamerica and @alaskaair do a better job. though not perfect. no one is. not even @singaporeair"""
Rant,"""mlghammertime @singaporeair just economy and very good"""
Rant,"""mmonicalewinsky singapore airlines is amazing, i cannot fault them. they are expensive tho.. emirates is next best in my opinion x"""
Rant,"""moesg @singaporeair @twittersg @govsingapore you need lesson about"""
Rant,"""msvuittonz hahaha ask them? @singaporeair"""
Rant,"""mukeftlouis but ive heard nice things about singapore airlines too"""
Rant,"""nadya_hutagalng @singaporeair @ap_airports i had the same experience last month when i flew from sing to heathrow , london."""
Rant,"""nameet really with how @singaporeair has handled my honeymoon booking. not expected!"""
Rant,"""nameet saw @airasia news overnight; knew mr &amp; mrs potnis where on @singaporeair on their honeymoon; i'm sure it is difficult 2 hear..."""
Rant,"""nayanikaaa @catamaran_tales i had worst meduvada i've ever had on singapore airlines flight as a hindu veg meal- never again."""
Rant,"""newley @wsj comeon singapore airlines.you are better than this. clearly the business model is predicated on conning innocent people. change"""
Rant,"""newley that is outrageous @singaporeair"""
Rant,"""nidhiraichand their entn. system did not work and when i complained on twitter they harassed us on our way back! do not fly @singaporeair."""
Rant,"""ninadavuluri be treated like royalty - only fly singapore airlines. if u give money on d streets or in traffic, then u will be surrounded."""
Rant,"""nramxx @daphnechew_ yeah for the flight and the luggage singapore airlines leh"""
Rant,"""nyctm @singaporeair ill be in aruba wearing a wetsuit, but will miss you all"""
Rant,"""nypost guess he was not in ""suite class"" @singaporeair"""
Rant,"""nzheraldbiz @flyairnz or more like ruin it for those who opted for singapore airlines for it wider seat!"""
Rant,"""oliviaallennyc @singaporeair @sai i should probably bring an overnight bag then..."""
Rant,"""omgitsjy @singaporeair right you are, thanks for pointing that out. junyi. T_URL"""
Rant,"""parisba @virginaustralia @singaporeair @staralliance and now there are so many more of them available T_POS_EMO"""
Rant,"""patrickcanion @singaporeair that sucks pat i hope they find it asap and get it to you. how long are you there for?"""
Rant,"""peterloh @singaporeair @ausbt i sure did. sq will not ticket them. flight centre to advise asap."""
Rant,"""peytonevans ive always wanted to eat left over fries but i left that poverty life when i boarded that singapore airlines plane 15 years ago"""
Rant,"""pfro i just read your article about @singaporeair suites. they are really awesome. wish i could afford those luxe seats."""
Rant,"""photojames @singaporeair 5mb is what, maybe a picture tweet? crazy."""
Rant,"""photojames @singaporeair oh no! i'm flying with singapore for my tokyo trip. this sucks!"""
Rant,"""photojames @singaporeair wow, really worthless!"""
Rant,"""photojames @singaporeair you spent ~$0.30 to tweet that."""
Rant,"""pitispotterclub @lugospotter @singaporeair i迓蘝迓蘝夦_淌ve seen it from my window-seat quite a few times迓蘝迓蘝_"""
Rant,"""pizzafatboy @delta @deltaassist they did the same thing to us, flight was operated by singapore airlines, we had to pay a $100 fee"""
Rant,"""pokerlifter @singaporeair indeed they do!"""
Rant,"""pokervixen @curiousdg ha. i think @singaporeair is great if you have no special needs/requests. if you do, forget it."""
Rant,"""prioritypax we did not block you &amp; have noted your feedback. thanks for pointing it out. hope you have a great day. @singaporeair 2/2"""
Rant,"""qantas delays, excuses, delays, excuses! once again it is clear why @singaporeair is a far superior. show your aussie 'spirit' &amp; sort it out"""
Rant,"""qantas tried booking 3 times, got that error every time. ending up going with singapore airlines"""
Rant,"""qantas why fly away if you want to be home? you lost me a long time ago @qantas. @flyairnz @cathaypacificau @mas @singaporeair @emirates"""
Rant,"""raktimsilva14 nope!! sometimes singapore airlines quite bumpy and budget airlines especially... they do not know how to fly a plane -.-"""
Rant,"""ramiasky @emirates @emiratessupport is a joke @qatarairways @singaporeair @etihadairways"""
Rant,"""ramiasky @emiratessupport they have the worst customer service @singaporeair @turkishairlines @airfrance"""
Rant,"""realbizwithrj @singaporeair @alfredportale @rebeccajarvis i can safely confirm you dont get this standard flying economy"""
Rant,"""reisewerk @kempistmoritz @marloesgrim @singaporeair cool! we are going to enjoy your second hometown without you, i guess..."""
Rant,"""reisewerk @kempistmoritz @marloesgrim @singaporeair not the first one saying this but it is like xmas! _迓太迓绦_"""
Rant,"""rhettandlink would not it make sense to take singapore airlines to singapore ayyyyyy_迓太迓绦迓态 (seriously though it would mean the world if you came)"""
Rant,"""rich_underwater @singaporeair not again. are you on their naughty list?"""
Rant,"""richardbranson and singapore airlines are just about the best at delivering the small details in a big way."""
Rant,"""rickgriffin in-flight dining that would be @singaporeair"""
Rant,"""ridesharedash i prefer singapore airlines they take very good care of me when i fly to southeast asia"""
Rant,"""ripplecreeknw @airasia @singaporeair all good. flew in on the same route late the night before. weather very turbulent. thanks for the msg_迓太迓绦_"""
Rant,"""rntata2000 and every action of @singaporeair post my complaint reeks to intentional gross deficiency of service and gross negligence"""
Rant,"""rntata2000 congrats on vistara aop. do you know @singaporeair intentionally removed shrimp to pass off salad as veg &amp; v r allergic2seafood"""
Rant,"""rntata2000 its happens at last after 2 dcds when u lst tried it to have it like singapore airlines but because of corruption u leave it"""
Rant,"""rntata2000 just thought you should know about how @singaporeair treats its customers. and they were once supposed to be the best airline."""
Rant,"""rntata2000 sad how the mighty fall. @singaporeair"""
Rant,"""rogermthomas10 @singaporeair if you have a specific issue with a flight centre booking. please email me, i'd be happy to investigate. 1/2"""
Rant,"""rogermthomas10 we have a strong relationship with @singaporeair. we noticed the error, and alerted them in good faith. best regards, felix."""
Rant,"""rollsroyce earns revenue whenever @singaporeair powers up the engine, are you charging your customers by usage?"""
Rant,"""royalbl00d_ hi lauren, your question will need to be directed to your airline. we are sure @singaporeair can advise you."""
Rant,"""rrphl so i can either purchase that lens for like 12k. or purchase a first class round trip airline ticket via singapore airlines for 13k"""
Rant,"""runwaygirl @jonk @singaporeair absolutely and they get it."""
Rant,"""runwaygirl @jonk @singaporeair they hand out cold towels to econ and have trays w common drinks (beer/water/oj) almost immed after takeoff."""
Rant,"""runwaygirl @singaporeair was recently reviewed; the seats in front do not recline into you, but slide to give a reclining illusion, great!"""
Rant,"""runwaygirl hmm. singapore airlines迓蘝迓蘝夦_淌 ongoing shoddy treatment of passengers with mobility issues is concerning. @missuswebb"""
Rant,"""ruthmarlyngrace yes, it is still short compared to qantas, virgin, singapore airlines, but it is better rated than the likes of airasia and"""
Rant,"""sacredinsanity so what....they would have compensated you with 15 odd $ and said sorry... no big deal for them @singaporeair"""
Rant,"""salesgravy @singaporeair @jeremygutsche this is absolutely ridiculous!"""
Rant,"""salesgravy @singaporeair @jeremygutsche wonder what singapore airlines has to say as those charges seem odd?"""
Rant,"""samjpullen @singaporeair do you reckon you will miss it?"""
Rant,"""sarasoueidan @lufthansa \o one vote from here. @singaporeair was also awesome, did not want to leave the plane after long travel."""
Rant,"""sdaviespoker fish do not normally fly. and when they do, it is not on singapore airlines."""
Rant,"""sean_nicol we had horrifying exp as well on @singaporeair. and when we tweeted about it they took our pnr and targeted us on the return flt"""
Rant,"""shixunli one is less, 1.7k. singapore airlines. one transfer. 15-16 hours travel."""
Rant,"""simoncan2 @singaporeair seems they have never heard of a calculator"""
Rant,"""simoncan2 @singaporeair yeah, they charged me 1500 usd out of melbourne 2 days ago."""
Rant,"""simonemonique28 no one at @singaporeair concerned about getting customers to give confidential information on twitter?"""
Rant,"""simpliflying @singaporeair oh gracious... that guy knew what he was doing, shashank. T_POS_EMO"""
Rant,"""sinemgundogan @singaporeair a company without respect to human health. definitely prefer"""
Rant,"""singaporeair @singaporeair you have a site called ""best price guarantee"" T_URL . this seems very deceiving."""
Rant,"""singaporeair but i fly singapore airlines more than anyone else when i head out to asia. i'm a krisflyer member. T_POS_EMO"""
Rant,"""singaporeair competes with no ife: $100, no food: $50, no toilet: $25. no seat: $250. flying @singaporeair: priceless."""
Rant,"""singaporeair fyi, i've lodged a complain against zignal and singapore airlines with nsw fair trading"""
Rant,"""singaporeair i've never felt so disappointed with singapore airlines before. so much for top notch service."""
Rant,"""singaporeair no amount of talking to singapore airlines reps by phone has helped. i do not want to regret having flown with you guys."""
Rant,"""singaporeair so i will take that as a no? singapore airlines is not interested in caucasian flight attendants?!"""
Rant,"""singaporeair terrible service from singapore airlines, missed my connecting flight. traveling for 21 hours, not even an apology or upgrade"""
Rant,"""singaporeair was few months ago now but going on to new zealand after again with @singaporeair"""
Rant,"""singaporeair which airlines does not allow 2 kgs excess baggage on an international flight? singapore airlines at melbourne."""
Rant,"""slate i wonder how many times this happens? what a rip off. singapore airlines should distance themselves from these crooks!"""
Rant,"""smhgndgn @singaporeair a company without respect to human health. definitely do not prefer them"""
Rant,"""smhgndgn @singaporeair definitely do not prefer them"""
Rant,"""sqffp @singaporeair hope things get better soon, freddy!"""
Rant,"""staralliance @egyptair @singaporeair i am sick of having to manually claim miles on sq flights to my ms membership. please do something !"""
Rant,"""stephbetravel @singaporeair oh wow! i'm so happy for you. _迓太迓绦夦_痰"""
Rant,"""sternos tom, fyi, we have been re-routed on @singaporeair @thaiairways"""
Rant,"""swissairliner i wish the old swiss air was still around. i have never tried it but my family said it was better than singapore airlines lol"""
Rant,"""sydneyairport @singaporeair offered meal vouchers already, not a good sign missing all connecting incl india domestic @jetairways checkedin"""
Rant,"""tamairlines @singaporeair.regarding my flight from bcn with connection in sao paulo to chile.should i do sthg with my baggage?no info desk"""
Rant,"""tatekerry @singaporeair there is no harm in trying!"""
Rant,"""tevinalvord did you guys at any point use singapore airlines?"""
Rant,"""thangngo just read about derek low's trip on singapore airlines' suites class, and now you show me this! i wish i had money to fly this way"""
Rant,"""thatdonmishko @singaporeair i do not think you will get anything here! they broke into my bags and have stopped replying to my tweets!"""
Rant,"""theareefshah @singaporeair singapore offered help at 9.30am and indonesia only accepted help at 2.30pm!? so much precious time lost!!"""
Rant,"""thegregfleet you should insist virgin pay for you to go qantas. i did that w singapore airlines when they cancelled my flight out of japan"""
Rant,"""thejasonbyrne @carra23 oh no!!! i will miss this - unless singapore airlines can show it!!!!"""
Rant,"""thenationaluae really? i will never fly with @singaporeair again. i will return to flying with @emirates"""
Rant,"""thenewpaper @singaporeair some airlines are starting to provide free wifi i do not quite understand why sq cannot ?"""
Rant,"""thepointsguy @noachl @singaporeair i've got a @citi aa exec card but i do not (think) i get citi ty points on it. should i switch?"""
Rant,"""tictak72 @singaporeair just being a guest."""
Rant,"""timothygo_only1 why are you getting such special service? jealous... @singaporeair"""
Rant,"""tjthwaites81 @singaporeair 47 days till i sit on this fab airline"""
Rant,"""todayonline @singaporeair seems a little steep and kind of tricky like the sim lim tactics. or customers know exactly beforehand?"""
Rant,"""tonyfernandes @richardbranson : made the mistake of flying @singaporeair and they tortured us! they have obv. started cutting corners."""
Rant,"""traceytalbut @emirates try economy crap and crew singapore airlines far better"""
Rant,"""travel_today so i'm guessing this is not a good time to ask @singaporeair for an upgrade on tomorrow's flights?"""
Rant,"""travelpluswine @singaporeair safe travels! perhaps you could hang out with our friend @keishibata when you get there? ian"""
Rant,"""travelskills q10. i always have best airline meals on @singaporeair on my way to my country"""
Rant,"""tresbalmain hmmm singapore airlines has a very good track record"""
Rant,"""tripwellness @expedia yeah, i should have said for a long flight T_POS_EMO preferably on @singaporeair or @emirates."""
Rant,"""ttkr96 singapore airlines :o everyone else i know also saving up for some trip or another sighs"""
Rant,"""tweaktown @singaporeair having just flown singapore air and having looked at the wifi prices, i find it hard to be sympathetic. what a dolt"""
Rant,"""tweaktown @singaporeair jesus... 30mb? i blow through 30mb in no time... what a rip off."""
Rant,"""tweeetbro @emiratessupport use hash tag and always tag other airlines @etihadairways @qatarairways @singaporeair"""
Rant,"""united @singaporeair have tried emails, phone calls, online forms. agents do not have access to necessary info &amp; seem helpless. please help."""
Rant,"""united attendant james from ua840 refused to let me bring my bag of fragile art on. @singaporeair &amp; @thaiairways had no problem."""
Rant,"""united i flew london - washington - s迓蘝迓澹o paulo - houston - london in june/july and asked 4 the airmiles to @singaporeair not seen anything."""
Rant,"""united please improve quality of food on int'l routes! flew sfo-hkg-sin. inedible and gross meals. @singaporeair does it better!"""
Rant,"""united when will united be as high quality as @singaporeair"""
Rant,"""vinluancathrine @singaporeair @emirates i agree with you on the latter just not @virginamerica as their miles program is a joke."""
Rant,"""virginamerica is not able to honor info on their website re: singapore airlines mileage redemption, i wasted 215 thousand miles on program"""
Rant,"""virginatlantic @jetairways @omanair @lufthansa @airindia @emirates @qatarairways @airasia: have you read how @singaporeair tortured us?"""
Rant,"""virginatlantic @singaporeair i already did back on nov 7th. tracking number: a00002315812-00007814890."""
Rant,"""virginatlantic @singaporeair what number should i call to get my points for flying with sa credited to my virgin account?"""
Rant,"""virginaustralia can i use my number for bookings &amp; still use @singaporeair gold status for lounge &amp; luggage?"""
Rant,"""virginaustralia really need to work towards integrating your systems with @singaporeair systems"""
Rant,"""virginaustralia what is the baggage limit for flying va codeshare ( singapore airlines to chennai ) for gold members under flexi fare?"""
Rant,"""virsanghvi but thats the point.arent good flights expected in singapore airlines or such-where even 10good flights may not be worth sharing"""
Rant,"""vodafonein my mobile phone not working, hope @singaporeair is able to reach me. @vodafonein fails exactly when they are needed the most."""
Rant,"""walker_young landed in jakarta &amp; @singaporeair left my bags in singapore after their officers confirmed they had them transferred! _迓太迓绦迓蘝"""
Rant,"""washingtonpost do not fly @singaporeair . $1200 wifi"""
Rant,"""wayneong @singaporeair that is a swanky pouch!"""
Rant,"""westendjenna singapore airlines. i swear after getting stuck on air nz from hk in march i迓蘝迓蘝夦_淌d never fly long haul with them again."""
Rant,"""willytk007 heard someone in singapore airlines got a $usd1100 wifi bill..."""
Rant,"""wrongdoc lol good wordplay. singapore airlines food is terrible. they serve jain food if asked for veg"""
Rant,"""wsj 1,1171$. i think this gonna cost singapore airlines more than that traveler. it is going to hit their image in many ways."""
Rant,"""wsj it happened with me once on the singapore airlines flight and i ended paying $400 for the wifi service _迓太迓绦迓檀"""
Rant,"""xxitskeixx ""that is a pretty long flight. make sure you get enough sleep. singapore airlines?"""""
Rant,"""xxl23 @wpt went to japan on @singaporeair everything was great except this kid with stink feet and no shame."""
Rant,"""yonithan @singaporeair i迓蘝迓蘝夦_淌ll be sure not to hold my breath then"""
Rant,"""young_ajummah omg yessss!!! that should be on my bucketlist. wonder if @singaporeair can hook me up? T_POS_EMO"""
Rant,"""yourivanooijen @emiratessupport is a joke @etihadairways @qatarairways @singaporeair @delta"""
Rant,"""zachinflight that is hilarious. but i recently flew singapore airlines and that *was* a pleasant experience."""
Rant,"""zenofsecurity @dbainthecity @singaporeair do not fly u could end up with 10yrs in hell T_URL"""
Rant,"""zjagtiani @singaporeair they have sorted our flight out we are very greatful"""
Rant,"""zzzaqia the reason why i always take @singaporeair is greatly cos of their food. lol!"""
Rant,"""_URL $1,200 wifi charge shows what迓蘝迓蘝夦_淌s wrong with singapore airlines wifi"""
Rant,"""_URL &lt; not cool. own your mistake and move on @singaporeair"""
Rant,"""_URL singapore airlines and bt work together on customer service experience innovations"""
Rant,"""_URL thats the wrong way @singaporeair"""
Rant,""" computer error meant around 900 business class seats on singapore airlines were sold at economy prices earlier this week."""
Rant,""" little disappointed @singaporeair plays only half of the @familyguyonfox and @thesimpsons crossover episode. T_URL"""
Rant,""" man has ""sticker shock"" after being charged $1,171 for using on a @singaporeair flight. that is a tad pricey. T_URL"""
Rant,""" menu card on economy ! and sq is cheaper than pal. just saying @ singapore airlines at ninoy aquino迓蘝迓蘝_ T_URL"""
Rant,""" singapore airlines customer was charged $1,171 for using airplane wifi: T_URL"""
Rant,""" tale of how singapore airlines lost my luggage - onboard sq961 cgk-sin! T_URL"""
Rant,""" toronto man said he got off a singapore airlines flight last week and received a nearly $1200 us bill for internet use"""
Rant,""" truly awesome move by @singaporeair迓蘝迓蘝_ not enough companies get credit for the good things done T_URL"""
Rant,""".j. khaira @khairais :@cbcnews @singaporeair not anywhere close to being reasonable...complete money grab."""
Rant,"""dding a @singaporeair suite class round trip ticket to my ""i will never get it but it does not hurt to ask"" wish list T_URL"""
Rant,"""ds for @singaporeair girl do not show her getting ipad i left on flight from barcelona before i get on flight to brisbane. super people!"""
Rant,"""fter 3 weeks of traveling thank you @singaporeair and @fansofchangi for losing my luggage.. that was unexpected ."""
Rant,"""fter a stressful morning @singaporeair have managed to sort the flights out and we are very greatful thank you for the help"""
Rant,"""fter over 24 hrs of battling with flight delays and then baggage delays, i'm finally home. not cool @singaporeair _迓太迓绦夦_夈�"""
Rant,"""fter years of flying with other airlines, i still think that @singaporeair tops it. nothing beats german efficiency with asian charm"""
Rant,"""las, @united is not as nice to their own mileage plus members as @singaporeair is T_NEG_EMO"""
Rant,"""ll those flying @singaporeair watch out. make sure you do not complain against poor service else they wl target u on all subsequent flights."""
Rant,"""lmost a month til @united &amp; @singaporeair flights to @hongkongtourism. to"""
Rant,"""lmost missed my plane enjoying @singaporeair private room too much. very happy to have made it to my beloved 1a now T_URL"""
Rant,"""lso, @singaporeair did not let me onboard to collect my $10,000 watch after lax-sin. will never fly sq business on full paid fare again."""
Rant,"""lso, another way @singaporeair provides customer service: talk over me when i迓蘝迓蘝夦_淌m explaining the situation. asian condescension = a++"""
Rant,"""lways happy to see a @singaporeair plane, not so much when it is a b772 but it is still good! T_URL"""
Rant,"""lways love how helpful singapore airlines customer service is. /not"""
Rant,"""m not sure if i am happy to pay such a premium for @airvistara just bcoz it is a @tatacompanies &amp; @singaporeair jv"""
Rant,"""m surprised that singapore airlines allowed this to become an issue. not part of the customer service value prop! @blueplanetexp @reverb"""
Rant,"""n empty t2 apart from zone a! good use of the new terminal heathrow! queue to queue..@heathrowairport @singaporeair T_URL"""
Rant,"""nd @singaporeair tried to compensate for ife not working by throwing a s$100 voucher in our face. i threw it right back at them !!!"""
Rant,"""nd a trip would not be complete without @southwestair canceling your flight home. @singaporeair was great. but now i'm stuck in lax all day."""
Rant,"""nd all this to a guy who flew 20+ flights with them..what would they do to a new customer! horrible @singaporeair"""
Rant,"""nd if anyone has any kind of special need or medical request, singapore airlines is not the airline for you. come back ba all is forgiven"""
Rant,"""nd now @singaporeair has started being negligent about luggage too! husband lost his bag on return flight from beijing &amp; no accountability."""
Rant,"""nd once again @singaporeair has to apologize for some bad customer service (after the fact)... T_NEG_EMO - @thestrad T_URL"""
Rant,"""nd so onward to shanghai for the praying @singaporeair are kind with their baggage policy these days"""
Rant,"""nd then @singaporeair sends across 2 executives to offer lip service and say they are sorry. that after they have ruined our holiday迓蘝迓蘝_"""
Rant,"""nd this despite being continuously assured by @singaporeair ground staff that nothing would go wrong and it would be handled with care."""
Rant,"""nd we would argue over which airline is better.. singapore airlines or cathay pacific because you know, national pride and things"""
Rant,"""nd yet another day without our luggage... @twittersg @singaporeair"""
Rant,"""nd you thought comcast was expensive: airline charges almost $1,200 for in-flight wi-fi T_URL a singapore airlines t..."""
Rant,"""ny danger that after almost 1.5hrs on hold that you could pick up the phone @singaporeair"""
Rant,"""nyway cannot use tickets...: singapore airlines business class seats sold at economy rates due to computer error T_URL"""
Rant,"""ppalled @singaporeair is supposed to provide a great customer experience, but bumps important hospital equip twice from cargo flights."""
Rant,"""pparently yesterday there is this thing called the hello kitty run. today there is the singapore airlines run. so what other runs are there?"""
Rant,"""re you flying these holidays! i am but it sure does not look like this! check it out! singapore airlines first... T_URL"""
Rant,"""rrived in singapore and managed to get a few hours of sleep. another 8hr flight to go. @singaporeair was fantastic, as expected."""
Rant,"""s always @singaporeair service on and off the ground was flawless. keep up the good work sq."""
Rant,"""s much as i complain abt @singaporeair must admit they make it incredibly easy to use award miles. all in all glad i ditched @united."""
Rant,"""s one of my preferred airlines, i am really disappointed in this news about @singaporeair T_URL"""
Rant,"""slan flying with @singaporeair economy ruined my sense of appreciation for any other airlines! imagine how their first class cabine!"""
Rant,"""t zurich airport there are now 2 @singaporeair a380's: skd (delayed sq345) and ska (regular sq345). T_URL"""
Rant,"""wesome understanding/help on pre-board by @singaporeair ground staff @ chennai, singapore &amp; seoul. heartfelt thanks. dm, if more details."""
Rant,"""e careful booking va - singapore airlines flights: i recently thought i would book a trip to hk using the new... T_URL"""
Rant,"""e wary of in-flight charges: a @singaporeair passenger learned the hard way w/ an $1,171 charge T_URL @digitaltrends"""
Rant,"""eepo迓蘝迓蘝夦_淌s customer service results exceed singapore airlines, emirates, iinet and other major brands... T_URL"""
Rant,"""etween @flightcentrenz @singaporeair and @flyairnz - not one could solve my problem with my family in transit in changi airport."""
Rant,"""eware when using @singaporeair internet, it could cost you big bucks. T_URL"""
Rant,"""ig sisters of to austrailia today via @singaporeair so gutted @rhiannon409 T_NEG_EMO("""
Rant,"""ill shock. think twice before you use. passenger charged $1300 for singapore airlines wi-fi T_URL"""
Rant,"""loke who was charged $1475 for wifi on singapore airlines flight used the word 'deplaning'. quite a modest fine for ruining the language."""
Rant,"""oarding of big bird is such a mess &amp; i'm dreading disembarking already, top it with delay of 1 hour. grrrr.. @singaporeair"""
Rant,"""ooked our flights to oz and our new adventure with @singaporeair things are getting real!"""
Rant,"""oxing day @singaporeair. ""map out your future but do it in pencil. the road ahead is as long as you make it."" T_URL"""
Rant,"""rilliant airline staff @singaporeair made our long journey back so much more enjoyable"""
Rant,"""t contract with @singaporeair aimed at delivering an enhanced experience for their customers T_URL 迓蘝迓蘝_"""
Rant,"""t pr: singapore airlines and bt work together on customer service experience innovations: bt, one o... T_URL"""
Rant,"""t to enhance @singaporeair' customer service T_URL"""
Rant,"""usiness class seats at economy prices due to error | T_URL @singaporeair"""
Rant,"""ut honestly speaking, being in this major gives me the chance to do my research about singapore airlines"""
Rant,"""ut i am flying @emirates normally i fly @singaporeair so i shall report back on the difference."""
Rant,"""annot believe half the family are getting on a plane to australia today! see you soon! @singaporeair will take care of you."""
Rant,"""annot believe how unhelpfully @singaporeair are being, cancelling a connecting flight on a different day and not helping us to get home _迓太迓绦迓踏"""
Rant,"""annot believe i was not following @singaporeair and @mas absolutely crazy if u ask me."""
Rant,"""anadian flyer gets stung for $1200 for @singaporeair rip-off wifi. i only paid $349! T_URL"""
Rant,"""anceled meetings&amp;business plan because baggage delay, but no one in @singaporeair care. big disappointment for a used to be great airlines."""
Rant,"""hanged my flight through @singaporeair by phone &amp; asked for aisle. checking in now: 37j -&gt; ugh, - please! sq25 on thursday"""
Rant,"""heck in dan jegerrrr delay 3 jam T_NEG_EMO fak!!!!! (at singapore airlines offices) 迓蘝迓蘝迓台 T_URL"""
Rant,"""hildren crying, people asking me when flights boarding and boarding delayed yay thanks @singaporeair 2nd leg of journey being longer boo"""
Rant,"""mon @singaporeair - do not pass the shit to your passengers. what a shitty airline T_URL"""
Rant,"""mon @singaporeair fix your website so i can give you money!!"""
Rant,"""ome on @singaporeair help a friend out _迓太迓绦_ @rubenk85 @australia"""
Rant,"""omplained to @singaporeair about the $14.99 internet charge and $349 ""overage"" she said - do not worry - last week a guy got hit w / $2000!"""
Rant,"""ries @ singapore airlines, for not allowing me who is still under 18 to check-in by myself"""
Rant,"""ustomers are the ones who take you places not the other way around, hence respect them @singaporeair"""
Rant,"""amn we missed it! rt @yahootravel: a computer glitch at @singaporeair sells 900 biz class tickets at economy prices T_URL"""
Rant,"""an delay dong pemirsa. dududu.. (with reza at singapore airlines check-in counter) [pic] 迓蘝迓蘝迓台 T_URL"""
